date,frequentation
2025-01-01,86930.38125
2025-01-02,230751.36385999998
2025-01-03,257469.18081
2025-01-04,189789.06824
2025-01-05,94577.13418000001
2025-01-06,384522.98368999996
2025-01-07,404124.43024
2025-01-08,390337.08968
2025-01-09,426832.28525
2025-01-10,412357.44714
2025-01-11,275052.42697
2025-01-12,92143.23590999999
2025-01-13,419689.95354
2025-01-14,441002.75324
2025-01-15,435536.13688
2025-01-16,415779.52782
2025-01-17,444191.23357
2025-01-18,269044.77637
2025-01-19,98182.89718
2025-01-20,405506.8569
2025-01-21,424290.53109
2025-01-22,420875.2341
2025-01-23,447747.56441
2025-01-24,420834.94556
2025-01-25,241084.49079999997
2025-01-26,94887.06921999999
2025-01-27,399906.71064
2025-01-28,429279.72972
2025-01-29,396247.29583
2025-01-30,430222.8284
2025-01-31,412597.61492
2025-02-01,286177.61609
2025-02-02,111144.95688
2025-02-03,385288.69574
2025-02-04,407447.00331
2025-02-05,412865.83890000003
2025-02-06,433273.43994
2025-02-07,423600.37196
2025-02-08,253154.57287
2025-02-09,105516.06695000001
2025-02-10,335978.42506
2025-02-11,367669.43785
2025-02-12,354606.7506
2025-02-13,367511.30997
2025-02-14,357523.43439
2025-02-15,238731.37023
2025-02-16,102807.29805
2025-02-17,274052.80936
2025-02-18,304338.1369
2025-02-19,292816.70816
2025-02-20,297392.49086
2025-02-21,304208.06632
2025-02-22,233149.40832
2025-02-23,100599.08584
2025-02-24,403592.94357
2025-02-25,435696.26587
2025-02-26,429183.96553000004
2025-02-27,439032.63534
2025-02-28,448921.11871
2025-03-01,258081.16132
2025-03-02,108781.59351
2025-03-03,389585.46441
2025-03-04,423335.41486
2025-03-05,444735.88146
2025-03-06,458655.68796999997
2025-03-07,451061.96168999997
2025-03-08,284572.28508999996
2025-03-09,103385.45855
2025-03-10,414184.4704
2025-03-11,431898.41664
2025-03-12,430500.71509
2025-03-13,437189.43948
2025-03-14,439116.94637
2025-03-15,275772.56281
2025-03-16,101297.5675
2025-03-17,411988.8153
2025-03-18,425004.81974999997
2025-03-19,420187.27831
2025-03-20,432590.32215
2025-03-21,422373.11925
2025-03-22,264924.75711999997
2025-03-23,105636.97638
2025-03-24,395051.02929000003
2025-03-25,424026.43418
2025-03-26,409098.09641
2025-03-27,431026.08326
2025-03-28,422394.33904
2025-03-29,268156.21371
2025-03-30,122593.19345
2025-03-31,400471.46041
2025-04-01,420120.56126
2025-04-02,425590.62212
2025-04-03,431072.76765
2025-04-04,437243.94091
2025-04-05,262441.69006
2025-04-06,126769.17421000001
2025-04-07,337874.08138
2025-04-08,360344.17771
2025-04-09,347296.92202
2025-04-10,355543.62189
