date,consommation
2012-01-01,2471592.0
2012-01-02,2912815.0
2012-01-03,3252581.0
2012-01-04,3265403.0
2012-01-05,3319555.0
2012-01-06,3314845.0
2012-01-07,3031707.0
2012-01-08,2833583.0
2012-01-09,3227375.0
2012-01-10,3290786.0
2012-01-11,3316060.0
2012-01-12,3430370.0
2012-01-13,3413680.0
2012-01-14,3254178.0
2012-01-15,3264940.0
2012-01-16,3668048.0
2012-01-17,3776565.0
2012-01-18,3770913.0
2012-01-19,3505306.0
2012-01-20,3346416.0
2012-01-21,2958923.0
2012-01-22,2765237.0
2012-01-23,3183694.0
2012-01-24,3309320.0
2012-01-25,3274679.0
2012-01-26,3285358.0
2012-01-27,3320659.0
2012-01-28,3129473.0
2012-01-29,3150764.0
2012-01-30,3699865.0
2012-01-31,3828386.0
2012-02-01,4011836.0
2012-02-02,4201153.0
2012-02-03,4283900.0
2012-02-04,4086357.0
2012-02-05,3985046.0
2012-02-06,4231291.0
2012-02-07,4376461.0
2012-02-08,4516641.0
2012-02-09,4457671.0
2012-02-10,4332607.0
2012-02-11,4221657.0
2012-02-12,4089692.0
2012-02-13,4164993.0
2012-02-14,3959058.0
2012-02-15,3799773.0
2012-02-16,3628424.0
2012-02-17,3536376.0
2012-02-18,3162307.0
2012-02-19,3048656.0
2012-02-20,3511915.0
2012-02-21,3612370.0
2012-02-22,3554128.0
2012-02-23,3433738.0
2012-02-24,3209267.0
2012-02-25,2857923.0
2012-02-26,2698009.0
2012-02-27,3159420.0
2012-02-28,3176612.0
2012-02-29,3056789.0
2012-03-01,3011780.0
2012-03-02,2957561.0
2012-03-03,2694223.0
2012-03-04,2615794.0
2012-03-05,3186477.0
2012-03-06,3310971.0
2012-03-07,3350906.0
2012-03-08,3245355.0
2012-03-09,3209508.0
2012-03-10,2832846.0
2012-03-11,2611323.0
2012-03-12,2896607.0
2012-03-13,2886519.0
2012-03-14,2834283.0
2012-03-15,2797525.0
2012-03-16,2721186.0
2012-03-17,2513268.0
2012-03-18,2508676.0
2012-03-19,2952860.0
2012-03-20,3043934.0
2012-03-21,2979370.0
2012-03-22,2828509.0
2012-03-23,2686983.0
2012-03-24,2333077.0
2012-03-25,2158072.0
2012-03-26,2480168.0
2012-03-27,2523345.0
2012-03-28,2507090.0
2012-03-29,2491732.0
2012-03-30,2462616.0
2012-03-31,2258513.0
2012-04-01,2185732.0
2012-04-02,2587528.0
2012-04-03,2659273.0
2012-04-04,2742055.0
2012-04-05,2774210.0
2012-04-06,2700327.0
2012-04-07,2474956.0
2012-04-08,2353707.0
2012-04-09,2383133.0
2012-04-10,2784198.0
2012-04-11,2847649.0
2012-04-12,2825048.0
2012-04-13,2784017.0
2012-04-14,2524484.0
