annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2025;Janvier;2025-01-01;Mercredi;1;3;C3;CHRONOSTAR;CHRONOSTAR;1091.76471
2025;Janvier;2025-01-01;Mercredi;1;5;C5;CHRONOSTAR;CHRONOSTAR;1807.05882
2025;Janvier;2025-01-01;Mercredi;1;11;11;Urbaine;Régulières Urbaines;827.05882
2025;Janvier;2025-01-01;Mercredi;1;12;12;Urbaine;Régulières Urbaines;400.0
2025;Janvier;2025-01-01;Mercredi;1;52;52;Métropolitaine;Régulières Métropolitaines;241.17647
2025;Janvier;2025-01-01;Mercredi;1;4;C4;CHRONOSTAR;CHRONOSTAR;3237.64706
2025;Janvier;2025-01-01;Mercredi;1;53;53;Métropolitaine;Régulières Métropolitaines;388.23529
2025;Janvier;2025-01-01;Mercredi;1;55;55;Métropolitaine;Régulières Métropolitaines;543.52941
2025;Janvier;2025-01-01;Mercredi;1;54;54;Métropolitaine;Régulières Métropolitaines;521.17647
2025;Janvier;2025-01-01;Mercredi;1;71;71;Métropolitaine;Régulières Métropolitaines;87.05882
2025;Janvier;2025-01-01;Mercredi;1;62;62;Métropolitaine;Régulières Métropolitaines;374.11765
2025;Janvier;2025-01-01;Mercredi;1;81;81;Métropolitaine;Régulières Métropolitaines;169.41176
2025;Janvier;2025-01-01;Mercredi;1;64;64;Métropolitaine;Régulières Métropolitaines;132.94118
2025;Janvier;2025-01-01;Mercredi;1;82;82;Métropolitaine;Régulières Métropolitaines;85.88235
2025;Janvier;2025-01-02;Jeudi;1;70;70;Métropolitaine;Régulières Métropolitaines;67.05882
2025;Janvier;2025-01-01;Mercredi;1;1001;a;Métro;METRO;40255.44518
2025;Janvier;2025-01-02;Jeudi;1;74;74;Métropolitaine;Régulières Métropolitaines;742.35294
2025;Janvier;2025-01-01;Mercredi;1;1002;b;Métro;METRO;27510.16829
2025;Janvier;2025-01-02;Jeudi;1;75;75;Métropolitaine;Régulières Métropolitaines;385.88235
2025;Janvier;2025-01-02;Jeudi;1;2;C2;CHRONOSTAR;CHRONOSTAR;6092.94118
2025;Janvier;2025-01-02;Jeudi;1;83;83;Métropolitaine;Régulières Métropolitaines;329.41176
2025;Janvier;2025-01-02;Jeudi;1;3;C3;CHRONOSTAR;CHRONOSTAR;6656.47059
2025;Janvier;2025-01-02;Jeudi;1;1002;b;Métro;METRO;47745.83865
2025;Janvier;2025-01-02;Jeudi;1;7;C7;CHRONOSTAR;CHRONOSTAR;1357.64706
2025;Janvier;2025-01-03;Vendredi;1;2;C2;CHRONOSTAR;CHRONOSTAR;7396.47059
2025;Janvier;2025-01-02;Jeudi;1;11;11;Urbaine;Régulières Urbaines;6090.58824
2025;Janvier;2025-01-03;Vendredi;1;4;C4;CHRONOSTAR;CHRONOSTAR;10758.82353
2025;Janvier;2025-01-02;Jeudi;1;12;12;Urbaine;Régulières Urbaines;3035.29412
2025;Janvier;2025-01-03;Vendredi;1;6;C6;CHRONOSTAR;CHRONOSTAR;8808.23529
2025;Janvier;2025-01-02;Jeudi;1;13;13;Urbaine;Régulières Urbaines;3123.52941
2025;Janvier;2025-01-03;Vendredi;1;7;C7;CHRONOSTAR;CHRONOSTAR;1698.82353
2025;Janvier;2025-01-02;Jeudi;1;50;50;Métropolitaine;Régulières Métropolitaines;560.0
